Title,Desc,Time_Prereq
ECON 10000.  Principles of Microeconomics.  100 Units.,"
By way of economic theory, applications, and contemporary issues, this course treats (1) the behavior and decision making on the part of individuals, business firms, and governments; and (2) the function of costs, prices, incentives, and markets in the American economy. We discuss contemporary topics (e.g., distribution of income, the environment, education, sports, health care). This course is formerly known as Econ 19800: Introduction to Microeconomics. Students may substitute ""Econ 20000: The Elements of Economic Analysis I"" for this course in the business economics track.","
Instructor(s): A. Sanderson; J. List     Terms Offered: Autumn
Spring
Winter
"
ECON 10200.  Principles of Macroeconomics.  100 Units.,"
By way of theory and public policy applications, this course covers current major domestic and international macroeconomic issues in the U.S. economy, including the determination of income and output, inflation, unemployment, and economic growth; money, banking, and the Federal Reserve System; federal spending, taxation, and deficits; and international trade, exchange rates, and the balance of payments. This course is formerly known as Econ 19900: Introduction to Macroeconomics. Students may substitute ""Econ 20200: The Elements of Economic Analysis III"" for this course in the business economics track.","
Instructor(s): A. Sanderson, G. Pieters     Terms Offered: Autumn
Spring
Winter
"
ECON 10700.  Introductory Game Theory.  100 Units.,"
How should one bid at an auction in order to win at the lowest possible hammer price? How do firms behave when they possess market power but also face competition? Why do companies engage in R&D races in order to release their new products sooner than their competitors? Why do the Republicans and the Democrats almost always ended up choosing moderates as their party nominees in presidential races? To what extent can the veto power of presidents allow them to influence legislative outcomes? To answer these questions, we study Games of Strategies, and explore how lessons learned from such games can guide one's thinking in everyday strategic interactions.","
Instructor(s): R. Fang     Terms Offered: Autumn
Spring
Winter
Prerequisite(s): ECON 10000/20000/20010
"
ECON 11020.  Introduction to Econometrics.  100 Units.,"
The objective of this course is to introduce students to the practice of econometrics. The course will focus on the use of multiple regression as a tool to establish causal relations. The course emphasizes all steps of the process of empirical research: data collection, analysis, and presentation (both written and oral). Multiple examples of this process will be discussed and students will be expected to read and evaluate existing research. Students will apply the techniques discussed in class to a topic of their choosing. They will write a paper and present results to the class.","
Instructor(s): Staff     Terms Offered: Autumn
Spring
Winter
Prerequisite(s): ECON 10000/20000/20010 and ECON 10200/20200/20210; ECON 21010 or STAT 22000 or STAT 23400 or STAT 24400
"
ECON 11700.  Introduction to Behavioral and Experimental Economics.  100 Units.,"
This is an introductory course to experimental economics and on how to gather your own data using experimental methods to answer important economic questions. This methodology will be applied to learn the main topics in behavioral economics that leverages psychological insights to decision making and its effects on markets. Students may use this course to satisfy the microeconomics method requirement for the business economics specialization.","
Instructor(s): Staff     Terms Offered: Not Offered in 2020-21.
Prerequisite(s): ECON 10000 or ECON 19800 or ECON 20000 or ECON 20010
"
ECON 12410.  Pathways in Economics.  100 Units.,"
This program introduces students to the approaches to economic research and experimentation that make UChicago a world leader in the field. Full-time lecturers in the Department of Economics teach classes on topics in macroeconomics, microeconomics, game theory, and field experiments, which are supplemented by guest lectures delivered by preeminent UChicago faculty in economics and other departments whose research applies the tools and insights of the field in new and exciting ways. Participants can apply what they hear about in lectures during small group discussion sections facilitated by a team of outstanding current UChicago students, as well as in labs and site visits to locations such as the Federal Reserve Bank of Chicago.","
Terms Offered: Summer
"
ECON 12411.  Pathways in Economics C.  100 Units.,"
This program introduces students to the approaches to economic research and experimentation that make UChicago a world leader in the field. Full-time lecturers in the Department of Economics teach classes on topics in macroeconomics, microeconomics, game theory, and field experiments, which are supplemented by guest lectures delivered by preeminent UChicago faculty in economics and other departments whose research applies the tools and insights of the field in new and exciting ways. Participants can apply what they hear about in lectures during small group discussion sections facilitated by a team of outstanding current UChicago students, as well as in labs and site visits to locations such as the Federal Reserve Bank of Chicago.","
Terms Offered: Summer
"
ECON 12412.  A Survey of Chicago Economics.  50 Units.,"
This two-week program will provide an introduction to UChicago-style, rigorous economics education; it is open only to approved visiting third-year students from Universidad Panamericana. Led by a team of full-time lecturers from the Department of Economics, this course will explore topics in four foundational areas: price theory, game theory, experimental economics, and macroeconomics. Participants will also develop skills that will prepare them for further graduate study or other professional pursuits, such as interviewing, networking, and academic and professional communications. Evening and weekend residential program activities will enable students to experience American life and culture and explore the vibrant city of Chicago. Throughout the program, students will have the opportunity to practice both academic and informal spoken English.","
Terms Offered: Summer
"
ECON 12413.  A Survey of Chicago Economics and its Business Applications.  000 Units.,"
This two-week program will provide an introduction to UChicago-style, rigorous economics education, as well as its business applications. Fulltime lecturers in the Department of Economics will explore topics in four foundational areas: price theory, game theory, experimental economics, and macroeconomics. Evening and weekend residential program activities will enable students to experience American life and culture and explore the vibrant city of Chicago. Throughout the program, students will have the opportunity to practice both academic and informal spoken English.","
Terms Offered: Summer
"
ECON 13000.  Introduction to Money and Banking.  100 Units.,"
The course focuses on monetary policy and central bank's attempts to stabilize prices and promote maximum sustainable economic growth. Topics include the structure of the Federal Reserve, the conduct of monetary policy, the term structure of interest rates, risk valuation, management of banking, and financial crises.","
Instructor(s): K. Kuevibulvanich     Terms Offered: Autumn
Spring
Prerequisite(s): Econ 10200/19900/20200/20210
Note(s): Students may not receive credit for both ECON 13000 and ECON 23950. 
"
ECON 13110.  Household Finance: Theory and Applications.  100 Units.,"
This course will examine the choices households make about important financial decisions and how these individual choices can impact the aggregate economy. Each week, basic predictions from economic theory will be discussed and compared with empirical findings. Topics will include: asset market participation and household portfolio choice; human capital and student loans; housing and mortgages; retirement planning; credit card debt; payday loans; and the gig/sharing economy. Focus will also be placed on government policies affecting these topics, including so-called household financial engineering, the creation of Government Sponsored Enterprises (GSEs) like ""Fannie"" and ""Freddie,"" and regulatory agencies like the Consumer Financial Protection Bureau (CFPB). The course will provide an introduction to structural modeling for conducting policy counterfactuals. Assessment will be based on problem sets, a midterm and a final. These problem sets will require students to work in R, Stata or other statistical package of the student's choice (with permission of instructor).","
Instructor(s): D. Koustas     Terms Offered: Spring
Prerequisite(s): PBPL 20000 or ECON 20000 required; PBPL 22200 preferred.
Note(s): Prerequisite(s): PBPL 20000 or ECON 20000 and one undergraduate course in quantitative research methods (Statistics or Econometrics) or the equivalent or consent of the instructor
Equivalent Course(s): PBPL 28528
"
ECON 13200.  Introduction to Macroeconomic Crises.  100 Units.,"
This course studies macroeconomic crises within the standard macroeconomic framework. The course introduces students to long run growth and business cycle fluctuations and analyzes recent events such as the 2008 financial crisis, Euro-currency crisis and the 2020 pandemic as distinct macroeconomic phenomena. In particular, we will cover areas including systemic risk in the banking sector, monetary and fiscal policy, sovereign default, labor market consequences and theories of labor determination and models of infection risk. We will also study methodological innovation in macroeconomics, i.e., how macroeconomists have adapted their theory and models to explain these particular episodes.","
Instructor(s): C. Roark     Terms Offered: Winter
Prerequisite(s): ECON 10200/20200/20210
Note(s): This course may count toward the macroeconomic methods requirement of the business economics specialization.
"
ECON 14000.  Introduction to Labor Economics.  100 Units.,"
This course is an introduction to labor economics with an emphasis on applied microeconomic theory and empirical analysis. Topics to be covered include: labor supply and demand, taxes and transfers, minimum wages, immigration, human capital, creativity over the lifecycle and unemployment. For each topic we will describe the basic economic framework used in the analysis, analyze associated cases of study and drawn conclusions about what we have learned. Most of the examples will be taken from U.S. labor data and special attention will be given to randomized trials and experimental methods to infer causality.","
Terms Offered: Winter
Prerequisite(s): ECON 10000/20000/20010
"
ECON 14520.  Economics of Gender in International Contexts.  100 Units.,"
In this class, students will engage basic issues, conflicts, and innovative field research in economics of gender in international contexts. In particular, we will review theoretical foundations, data and methods of research, and a review of recent work in international research related to economics of gender. At the end of the course, you will have a suite of research approaches, topics, and methods, to investigate gender differences in a variety of economic outcomes and contexts.","
Instructor(s): A. Gonzalez     Terms Offered: Winter
Prerequisite(s): ECON 10000 or PBPL 22200. STAT 22000 also recommended.
Equivalent Course(s): GNSE 22520
"
ECON 14810.  Evolution and Economics of Human Behavior.  100 Units.,"
This course explores how evolutionary biology and behavioral economics explain many different aspects of human behavior. Specific topics include evolutionary theory, natural and sexual selection, game theory, cost-benefit analyses of behavior from an evolutionary and a behavioral economics perspective, aggression, power and dominance, cooperation and competition, biological markets, parental investment, life history and risk-taking, love and mating, physical attractiveness and the market, emotion and motivation, sex and consumer behavior, cognitive biases in decision-making, and personality and psychopathology.","
Instructor(s): D. Maestripieri     Terms Offered: Winter
Note(s): CHDV Distribution: Undergraduate subject area: 1, Graduate distribution: 1
Equivalent Course(s): PSYC 27950, BIOS 29265, PSYC 37950, CHDV 27950, CHDV 37950
"
